100%;;;;;;;;;;;;;;
Sous-jacent;Type;Échéance;Achat;Vente;Cours du Sous-Jacent;Parité (ss-jacent/produit);Frais de gestion/an;Éligible PEA;Garantie de change;Dividendes;Perf 1 an;Mnémo;Isin;Dernière mise à jour
SGI GLOBAL SENIORS;;Ouverte;69,28 € (c);69,98 € (c);71,45 pts;1/1;1 %;Non;--;-; 7,68 %;1890s;FR0010506030;08/02/2010 17:29:48
SGI GLOBAL WASTE MGT;;Ouverte;80,20 € (c);81,00 € (c);81,19 pts;1/1;0,4 %;Non;--;-;+14,91 %;4902s;FR0010468751;08/02/2010 17:29:45
SGI GLOBAL WEALTH EF;;Ouverte;71,23 € (c);71,95 € (c);734,25 pts;1/10;1 %;Non;--;-;+68,65 %;1888s;FR0010505198;08/02/2010 17:29:48
SGI SHORT BRENT;;Ouverte;180,70 € (c);180,90 € (c);180,80 pts;1/1;0,5 %;Non;Oui;-; 37,29 %;8969s;FR0010650267;08/02/2010 17:29:36
SGI SHORT BRENT;;Ouverte;131,90 € (c);132,10 € (c);180,80 pts;1/1;0,5 %;Non;Non;-; 41,12 %;8968s;FR0010649780;08/02/2010 17:29:58
SGI WISE LONG TR;;Ouverte;657,09 € (c);662,37 € (c);659,73 pts;1/1;1 %;Non;Non;-;+17,98 %;2827s;FR0010523647;08/02/2010 17:29:46
SGI World Solar Energy;;23 jan. 15;42,10 € (c);42,53 € (c);512,97 pts;1/10;0,85 %;Non;Non;-; 24,24 %;2017s;FR0010319400;08/02/2010 17:29:53
SGI-Orbeo Carbon Credit;;Ouverte;67,65 € (c);69,20 € (c);68,15 pts;1/1;1 %;Non;--;-;+31,90 %;4239s;FR0010607648;08/02/2010 17:29:31
SOJA;;Ouverte;99,50 € (c);99,90 € (c);9,36 $;10,6993/1;0,5 %;Non;Oui;-;+13,77 %;4720s;FR0010454975;08/02/2010 17:27:33
SOJA;;Ouverte;77,05 € (c);77,35 € (c);9,36 $;11,3028/1;0,5 %;Non;Non;-;+5,36 %;3248s;FR0010536482;08/02/2010 17:27:12
SUCRE;;29 déc. 10;74,45 € (c);74,95 € (c);712,10 $;1,0527/10;1 %;Non;Oui;-;+71,96 %;1680s;FR0010308643;08/02/2010 17:29:43
TIMBEX;;Ouverte;62,53 € (c);63,16 € (c);646 pts;1/10;0,85 %;Non;Non;-;+43,83 %;4682s;FR0010457200;08/02/2010 17:29:00
URAX;;23 jan. 15;59,58 € (c);59,90 € (c);619,03 pts;1/10;0,85 %;Non;Non;-;+44,00 %;4061s;FR0010422949;08/02/2010 17:29:51
WAEX;;23 jan. 15;64,70 € (c);65,35 € (c);680,75 pts;1/10;0,85 %;Non;Non;-; 10,36 %;3018s;FR0010376707;08/02/2010 17:29:40
WISE LONG;;15 sept. 16;690,47 € (c);697,41 € (c);1 pts;1/1;7,5 %;Non;Non;-;+11,97 %;2734s;XS0247504698;08/02/2010 17:29:51
WISE LONG/SHORT;;Ouverte;598,32 € (c);603,12 € (c);600,74 pts;1/1;1 %;Non;Non;-; 34,24 %;2824s;FR0010523811;08/02/2010 17:29:46
