Bonus Cappé;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement max. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
LAFARGE;50,94 €;27,66 €;5 mars 10;19 mars 10;1/1;50,82 € (c);51,02 € (c);51,52 €;0,00%; 46,31%;6771S;FR0010776799;08/02/2010 17:25:00
LAFARGE;67,85 €;42,31 €;23 déc. 10;6 jan. 11;1/1;53,48 € (c);53,68 € (c);51,52 €;26,40%; 17,88%;7188S;FR0010845107;08/02/2010 17:29:22
LAFARGE;68,95 €;42,26 €;30 sept. 10;18 oct. 10;1/1;56,93 € (c);57,13 € (c);51,52 €;20,69%; 17,98%;0289S;FR0010801605;08/02/2010 17:29:22
LAGARDERE;31,56 €;19,67 €;23 déc. 10;6 jan. 11;1/1;27,75 € (c);27,90 € (c);27,01 €;13,12%; 27,18%;7189S;FR0010845115;08/02/2010 17:29:44
LVMH;61,85 €;39,18 €;5 mars 10;19 mars 10;1/1;61,68 € (c);61,98 € (c);76,11 €;0,00%; 48,52%;6770S;FR0010776781;08/02/2010 17:25:00
LVMH;76,39 €;47,60 €;30 sept. 10;18 oct. 10;1/1;73,35 € (c);73,65 € (c);76,11 €;3,72%; 37,46%;0290S;FR0010801613;08/02/2010 17:29:12
LVMH;86,19 €;55,96 €;3 jan. 11;17 jan. 11;1/1;78,12 € (c);78,42 € (c);76,11 €;9,91%; 26,47%;7187S;FR0010845099;08/02/2010 17:29:45
MICHELIN;47,44 €;28,02 €;5 mars 10;19 mars 10;1/1;47,32 € (c);47,52 € (c);52,94 €;0,00%; 47,07%;6772S;FR0010776815;08/02/2010 17:25:00
MICHELIN;64,31 €;37,71 €;30 sept. 10;18 oct. 10;1/1;57,75 € (c);57,95 € (c);52,94 €;10,97%; 28,77%;0291S;FR0010801621;08/02/2010 17:29:48
MICHELIN;64,65 €;39,98 €;23 déc. 10;6 jan. 11;1/1;53,99 € (c);54,19 € (c);52,94 €;19,30%; 24,48%;7190S;FR0010845123;08/02/2010 17:29:48
PEUGEOT;24,88 €;14,10 €;30 sept. 10;18 oct. 10;1/1;23,28 € (c);23,43 € (c);22,05 €;6,19%; 36,05%;0292S;FR0010801639;08/02/2010 17:29:48
PEUGEOT;30,48 €;18,73 €;23 déc. 10;6 jan. 11;1/1;23,20 € (c);23,35 € (c);22,05 €;30,54%; 15,06%;7191S;FR0010845131;08/02/2010 17:29:52
PINAULT PRINTEMPS;95,87 €;59,61 €;23 déc. 10;6 jan. 11;1/1;84,58 € (c);84,88 € (c);83,41 €;12,95%; 28,53%;7192S;FR0010845149;08/02/2010 17:29:54
PINAULT PRINTEMPS;98,90 €;58,57 €;30 sept. 10;18 oct. 10;1/1;91,18 € (c);91,48 € (c);83,41 €;8,11%; 29,78%;0293S;FR0010801647;08/02/2010 17:29:54
RENAULT;40,14 €;22,11 €;30 sept. 10;18 oct. 10;1/1;36,32 € (c);36,47 € (c);32,69 €;10,06%; 32,36%;0294S;FR0010801654;08/02/2010 17:29:50
RENAULT;45,19 €;27,77 €;23 déc. 10;6 jan. 11;1/1;34,65 € (c);34,80 € (c);32,69 €;29,86%; 15,05%;7193S;FR0010845156;08/02/2010 17:29:50
S&P BRIC 40 EURO;3 800 pts;1 895 pts;1 oct. 10;15 oct. 10;100/1;19,95 € (c);20,15 € (c);2 039 pts;88,59%;Barrière franchie;3142S;FR0010535468;08/02/2010 17:29:48
S&P BRIC 40 EURO;3 890 pts;2 040 pts;1 oct. 10;15 oct. 10;100/1;20,28 € (c);20,48 € (c);2 039 pts;89,94%;Barrière franchie;3141S;FR0010535435;08/02/2010 17:29:48
SAINT GOBAIN;28,60 €;16,54 €;5 mars 10;19 mars 10;1/1;28,51 € (c);28,66 € (c);32,28 €;0,00%; 48,76%;6773S;FR0010776823;08/02/2010 17:25:00
SAINT GOBAIN;39,50 €;22,39 €;30 sept. 10;18 oct. 10;1/1;35,31 € (c);35,46 € (c);32,28 €;11,39%; 30,64%;0296S;FR0010801670;08/02/2010 17:29:54
SAINT GOBAIN;45,24 €;27,07 €;23 déc. 10;6 jan. 11;1/1;33,86 € (c);34,01 € (c);32,28 €;33,02%; 16,14%;7194S;FR0010845164;08/02/2010 17:29:54
SCHNEIDER ELECTRIC;91,70 €;56,74 €;23 déc. 10;6 jan. 11;1/1;76,11 € (c);76,41 € (c);72,96 €;20,01%; 22,23%;7195S;FR0010845172;08/02/2010 17:29:54
SOCIETE GENERALE;56,95 €;35,91 €;23 déc. 10;6 jan. 11;1/1;41,19 € (c);41,39 € (c);38,93 €;37,59%; 7,76%;7196S;FR0010845180;08/02/2010 17:29:46
STMICROELECTRONICS;7,20 €;4,54 €;23 déc. 10;6 jan. 11;1/1;6,24 € (c);6,29 € (c);5,905 €;14,47%; 23,12%;7197S;FR0010845198;08/02/2010 17:27:29
TOTAL;44,34 €;28,05 €;30 sept. 10;14 oct. 10;1/1;42,32 € (c);42,52 € (c);40,875 €;4,28%; 31,38%;7013S;FR0010800714;08/02/2010 17:29:35
