Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Call;95 €;19 mars 10;--;--;10/1;--;--;8914S;FR0010647925;27/01/2010 09:03:51
Call;110 €;19 mars 10;--;--;40/2;--;--;3933S;FR0010605089;27/01/2010 09:03:49
Put;50 €;19 mars 10;0,45 € (c);0,46 € (c);10/1; 69,2 %;7,10;0076S;FR0010796615;08/02/2010 17:25:51
Call;55 €;18 juin 10;0,16 € (c);0,17 € (c);10/1;24,7 %;6,95;6675S;FR0010773887;08/02/2010 15:58:49
Call;65 €;18 juin 10;0,02 € (c);0,04 € (c);10/1;4,8 %;7,39;6431S;FR0010759035;08/02/2010 15:52:49
Put;45 €;18 juin 10;0,37 € (c);0,38 € (c);10/1; 38,9 %;4,84;0638S;FR0010836320;08/02/2010 17:25:51
Call;60 €;17 sept. 10;0,14 € (c);0,15 € (c);10/1;19,6 %;6,31;0779S;FR0010837732;08/02/2010 17:14:53
Call;65 €;17 sept. 10;0,08 € (c);0,09 € (c);10/1;11,2 %;6,15;0077S;FR0010796623;08/02/2010 17:18:55
Call;60 €;17 déc. 10;0,26 € (c);0,27 € (c);10/1;26,2 %;4,61;0639S;FR0010836338;08/02/2010 17:25:51
Call;65 €;17 déc. 10;0,16 € (c);0,17 € (c);10/1;17,1 %;4,83;0078S;FR0010796631;08/02/2010 17:18:26
Call;130 €;17 déc. 10;--;--;20/2;--;--;3304S;FR0010594580;27/01/2010 09:03:50
Call;65 €;18 mars 11;0,25 € (c);0,26 € (c);10/1;22,1 %;4,05;0640S;FR0010836346;08/02/2010 17:18:24
Call;145 €;18 mars 11;--;--;20/2;--;--;3305S;FR0010594598;27/01/2010 09:03:50
Call;70 €;16 mars 12;0,43 € (c);0,44 € (c);10/1;29 %;3,12;6676S;FR0010773895;08/02/2010 17:28:43
Call;100 €;16 mars 12;0,08 € (c);0,10 € (c);10/1;7,9 %;4,12;9307S;FR0010676890;08/02/2010 11:38:38
Call;115 €;16 mars 12;0,02 € (c);0,04 € (c);20/2;3,1 %;4,88;3766S;FR0010420737;08/02/2010 09:00:00
Call;125 €;16 mars 12;0,01 € (c);0,03 € (c);40/2;1,3 %;1,52;1585S;FR0010497412;08/02/2010 09:01:47
Call;150 €;16 mars 12;0,01 € (c);0,03 € (c);40/2;0,7 %;0,78;1782S;FR0010504027;08/02/2010 09:01:48
Call;175 €;16 mars 12;--;--;40/2;--;--;2923S;FR0010528349;27/01/2010 09:03:52
Call;70 €;15 mars 13;0,70 € (c);0,71 € (c);10/1;37,7 %;2,50;0780S;FR0010837740;08/02/2010 17:19:09
Call;90 €;21 mars 14;0,59 € (c);0,60 € (c);10/1;29,7 %;2,34;0641S;FR0010836353;08/02/2010 17:09:49
;;;;;;;;;;
APPLE  197,23 $;;;;;;;;;;
Call;220 $;25 juin 10;0,41 € (c);0,45 € (c);20/1;37,3 %;6,31;2325S;FR0010513333;08/02/2010 17:29:54
Call;260 $;25 juin 10;0,12 € (c);0,15 € (c);20/1;15,6 %;7,74;2760S;FR0010520767;08/02/2010 16:48:45
Call;150 $;17 déc. 10;4,46 € (c);4,54 € (c);10/1;80 %;2,56;9864S;FR0010717900;08/02/2010 17:29:16
